,date,open,close,high,low,volume,code
0,2017-02-08,9.36,11.23,11.23,9.36,135.0,603881
1,2017-02-09,12.35,12.35,12.35,12.35,101.0,603881
2,2017-02-10,13.59,13.59,13.59,13.59,88.0,603881
3,2017-02-13,14.95,14.95,14.95,14.95,110.0,603881
4,2017-02-14,16.45,16.45,16.45,16.45,144.0,603881
5,2017-02-15,18.1,18.1,18.1,18.1,258.0,603881
6,2017-02-16,19.91,19.91,19.91,19.91,152.0,603881
7,2017-02-17,21.9,21.9,21.9,21.9,477.0,603881
8,2017-02-20,24.09,24.09,24.09,24.09,1288.0,603881
9,2017-02-21,26.5,26.5,26.5,26.5,1011.0,603881
10,2017-02-22,29.15,29.15,29.15,29.15,1362.0,603881
11,2017-02-23,32.07,32.07,32.07,32.07,1490.0,603881
12,2017-02-24,35.28,35.28,35.28,35.28,2261.0,603881
13,2017-02-27,38.81,38.81,38.81,38.81,4882.0,603881
14,2017-02-28,42.69,42.69,42.69,42.69,39071.0,603881
15,2017-03-01,44.51,46.96,46.96,43.02,349947.0,603881
16,2017-03-02,47.5,51.66,51.66,46.96,296152.0,603881
17,2017-03-03,53.7,47.99,53.99,47.3,310771.0,603881
18,2017-03-06,45.79,48.15,49.47,45.18,205631.0,603881
19,2017-03-07,47.6,52.97,52.97,47.3,279911.0,603881
20,2017-03-10,58.27,58.27,58.27,58.27,17394.0,603881
21,2017-03-13,61.18,64.1,64.1,60.47,99366.0,603881
22,2017-03-14,70.49,70.51,70.51,68.61,43048.0,603881
23,2017-03-15,75.0,68.49,77.56,68.01,298012.0,603881
24,2017-03-16,69.2,75.34,75.34,69.2,170432.0,603881
25,2017-03-17,78.78,68.5,80.0,67.88,280522.0,603881
26,2017-03-20,65.4,68.96,70.44,64.18,152501.0,603881
27,2017-03-21,67.93,70.56,71.98,67.51,150531.0,603881
28,2017-03-22,69.0,77.62,77.62,68.55,214479.0,603881
29,2017-03-23,75.5,72.62,78.2,70.5,215558.0,603881
30,2017-03-24,74.0,75.96,79.85,72.7,233951.0,603881
31,2017-03-27,75.0,72.95,75.0,70.38,156979.0,603881
32,2017-03-28,72.0,68.49,72.72,66.66,152833.0,603881
33,2017-03-29,67.89,68.61,71.0,65.92,126571.0,603881
34,2017-03-30,66.0,68.12,71.18,65.0,136529.0,603881
35,2017-03-31,66.44,61.31,68.9,61.31,140282.0,603881
36,2017-04-05,58.51,58.89,61.0,56.33,100537.0,603881
37,2017-04-06,59.0,59.97,61.78,58.51,98589.0,603881
38,2017-04-07,59.31,56.41,59.9,56.18,101986.0,603881
39,2017-04-10,55.12,52.73,55.12,50.77,131598.0,603881
40,2017-04-11,52.0,55.72,57.6,51.4,136224.0,603881
41,2017-04-12,53.6,56.2,57.48,53.53,140384.0,603881
42,2017-04-13,54.0,54.36,57.37,54.0,98004.0,603881
43,2017-04-14,53.0,51.71,54.73,51.5,75723.0,603881
44,2017-04-17,47.0,46.54,47.55,46.54,56862.0,603881
45,2017-04-18,46.3,42.81,46.66,42.18,88066.0,603881
46,2017-04-19,42.9,45.48,46.14,42.76,100619.0,603881
47,2017-04-20,45.1,44.63,45.38,42.9,81786.0,603881
48,2017-04-21,44.71,42.6,45.48,42.5,59499.0,603881
49,2017-04-24,42.14,42.07,42.74,39.0,62395.0,603881
50,2017-04-25,45.59,46.28,46.28,45.5,34959.0,603881
51,2017-04-26,50.61,50.91,50.91,50.0,50317.0,603881
52,2017-04-27,56.0,56.0,56.0,52.3,183654.0,603881
53,2017-04-28,56.5,56.08,57.1,53.22,165003.0,603881
54,2017-05-02,57.4,58.95,61.6,57.4,164598.0,603881
55,2017-05-03,56.5,60.95,64.85,56.5,227087.0,603881
56,2017-05-04,59.0,58.35,61.98,58.15,170394.0,603881
57,2017-05-05,57.5,52.52,57.95,52.52,141837.0,603881
58,2017-05-08,52.3,53.81,55.5,51.2,141186.0,603881
59,2017-05-09,52.67,57.68,58.8,52.6,162868.0,603881
60,2017-05-10,56.94,57.87,59.98,56.55,166021.0,603881
61,2017-05-11,56.04,59.26,59.53,56.0,136719.0,603881
62,2017-05-12,58.99,61.06,63.0,58.58,159674.0,603881
63,2017-05-15,61.99,60.48,63.0,58.88,138799.0,603881
64,2017-05-16,59.18,60.25,60.47,57.14,127743.0,603881
65,2017-05-17,59.5,57.64,61.78,57.45,113741.0,603881
66,2017-05-18,56.0,61.62,63.0,55.5,183353.0,603881
67,2017-05-19,61.8,59.05,62.5,58.0,129020.0,603881
68,2017-05-22,58.05,56.99,60.45,56.78,98739.0,603881
69,2017-05-23,56.11,51.29,57.0,51.29,123571.0,603881
70,2017-05-24,50.0,51.79,52.54,49.13,75694.0,603881
71,2017-05-25,51.53,51.94,52.86,49.31,79724.0,603881
72,2017-05-26,51.86,52.28,53.53,50.71,91059.0,603881
73,2017-05-31,54.23,50.43,54.95,50.28,86857.0,603881
74,2017-06-01,48.88,46.72,50.3,46.28,81547.0,603881
75,2017-06-02,46.89,48.29,48.85,46.73,62086.0,603881
76,2017-06-05,49.01,53.12,53.12,49.01,161624.0,603881
