,date,open,close,high,low,volume,code
0,2017-01-03,2285.27,2307.89,2311.29,2285.27,25908920.0,sz50
1,2017-01-04,2305.91,2322.21,2324.56,2304.17,26104403.0,sz50
2,2017-01-05,2322.42,2322.68,2326.18,2317.89,26528712.0,sz50
3,2017-01-06,2323.01,2308.94,2326.43,2308.37,26445124.0,sz50
4,2017-01-09,2308.44,2318.34,2321.69,2307.16,26523074.0,sz50
5,2017-01-10,2316.16,2312.6,2321.0,2309.94,24055981.0,sz50
6,2017-01-11,2311.92,2300.47,2317.66,2299.31,26928346.0,sz50
7,2017-01-12,2299.49,2295.4,2310.78,2294.32,22139174.0,sz50
8,2017-01-13,2293.47,2308.06,2315.21,2291.06,27540467.0,sz50
9,2017-01-16,2303.32,2337.39,2343.27,2282.24,59294735.0,sz50
10,2017-01-17,2326.01,2329.59,2332.84,2320.03,19170449.0,sz50
11,2017-01-18,2330.14,2342.78,2349.39,2327.93,20298891.0,sz50
12,2017-01-19,2335.66,2334.96,2349.64,2330.34,21090735.0,sz50
13,2017-01-20,2334.49,2347.18,2350.26,2333.47,17511288.0,sz50
14,2017-01-23,2350.55,2347.1,2358.47,2340.53,19311321.0,sz50
15,2017-01-24,2347.5,2352.42,2357.17,2343.46,20110777.0,sz50
16,2017-01-25,2349.52,2358.7,2358.95,2345.7,17800221.0,sz50
17,2017-01-26,2359.43,2364.02,2371.93,2359.43,18629831.0,sz50
18,2017-02-03,2367.53,2339.99,2368.91,2338.2,14515951.0,sz50
19,2017-02-06,2346.44,2343.97,2351.56,2336.9,19895715.0,sz50
20,2017-02-07,2343.66,2337.53,2347.36,2331.78,16972740.0,sz50
21,2017-02-08,2334.68,2346.43,2347.1,2323.91,24237691.0,sz50
22,2017-02-09,2345.84,2354.9,2364.14,2343.73,31381646.0,sz50
23,2017-02-10,2357.59,2368.18,2374.48,2357.21,39306360.0,sz50
24,2017-02-13,2369.7,2379.31,2382.92,2369.49,34603826.0,sz50
25,2017-02-14,2381.1,2373.51,2381.63,2367.05,24227167.0,sz50
26,2017-02-15,2375.62,2372.19,2385.12,2369.43,38949257.0,sz50
27,2017-02-16,2373.31,2376.76,2378.45,2366.16,29629497.0,sz50
28,2017-02-17,2378.66,2362.71,2389.32,2361.0,31090474.0,sz50
29,2017-02-20,2361.76,2394.12,2395.53,2361.51,44690411.0,sz50
30,2017-02-21,2396.22,2396.88,2410.35,2393.37,32569800.0,sz50
31,2017-02-22,2397.49,2398.19,2399.4,2389.06,24513009.0,sz50
32,2017-02-23,2397.56,2387.42,2402.57,2379.56,23458671.0,sz50
33,2017-02-24,2385.05,2389.88,2390.39,2377.1,25680121.0,sz50
34,2017-02-27,2384.92,2370.56,2387.82,2365.47,23827555.0,sz50
35,2017-02-28,2369.47,2370.71,2379.43,2366.24,16793558.0,sz50
36,2017-03-01,2371.65,2371.93,2383.51,2368.62,27863124.0,sz50
37,2017-03-02,2376.97,2354.91,2380.24,2354.14,23062731.0,sz50
38,2017-03-03,2347.91,2347.15,2350.67,2338.85,20483107.0,sz50
39,2017-03-06,2346.04,2349.89,2355.09,2342.52,21112399.0,sz50
40,2017-03-07,2349.62,2356.29,2356.96,2347.17,20251348.0,sz50
