date,SZ,JFJS,CYDL
2017-01-03,2307.89,9.121,6.11
2017-01-04,2322.21,9.23,6.12
2017-01-05,2322.68,9.11,6.12
2017-01-06,2308.94,9.42,6.18
2017-01-09,2318.34,9.437,6.21
2017-01-10,2312.6,9.301,6.17
2017-01-11,2300.47,9.382,6.11
2017-01-12,2295.4,9.415,6.1
2017-01-13,2308.06,9.627,6.05
2017-01-16,2337.39,9.056,5.93
2017-01-17,2329.59,9.246,5.96
2017-01-18,2342.78,9.11,5.99
2017-01-19,2334.96,8.626,5.97
2017-01-20,2347.18,8.621,6.0
2017-01-23,2347.1,8.931,6.04
2017-01-24,2352.42,8.92,5.83
2017-01-25,2358.7,8.887,5.81
2017-01-26,2364.02,9.061,5.83
2017-02-03,2339.99,9.083,5.81
2017-02-06,2343.97,9.078,5.82
2017-02-07,2337.53,9.143,5.82
2017-02-08,2346.43,9.143,5.83
2017-02-09,2354.9,9.241,5.9
2017-02-10,2368.18,9.333,5.91
2017-02-13,2379.31,9.377,5.92
2017-02-14,2373.51,9.725,5.95
2017-02-15,2372.19,10.389,6.0
2017-02-16,2376.76,10.307,6.02
2017-02-17,2362.71,10.361,5.96
2017-02-20,2394.12,10.383,6.03
2017-02-21,2396.88,10.748,6.04
2017-02-22,2398.19,10.949,6.04
2017-02-23,2387.42,10.699,6.02
2017-02-24,2389.88,10.579,6.02
2017-02-27,2370.56,10.59,5.95
2017-02-28,2370.71,10.389,5.98
2017-03-01,2371.93,10.171,6.0
2017-03-02,2354.91,10.155,5.97
2017-03-03,2347.15,10.312,5.94
2017-03-06,2349.89,11.346,5.99
2017-03-07,2356.29,11.378,6.02
2017-03-08,2358.07,11.384,5.99
2017-03-09,2346.55,11.346,5.94
2017-03-10,2339.23,11.139,5.93
2017-03-13,2354.89,11.509,5.95
2017-03-14,2354.9,11.422,5.94
2017-03-15,2357.31,11.427,5.94
2017-03-16,2369.19,11.846,5.98
2017-03-17,2346.96,11.672,5.96
2017-03-20,2350.07,11.476,5.99
2017-03-21,2357.14,11.411,6.0
2017-03-22,2338.55,11.291,5.94
2017-03-23,2347.43,11.563,5.93
2017-03-24,2365.6,11.765,5.92
2017-03-27,2364.43,11.667,5.94
2017-03-28,2356.31,11.58,5.88
2017-03-29,2352.69,11.558,5.82
2017-03-30,2346.67,11.068,5.93
2017-03-31,2359.75,10.552,5.95
2017-04-05,2384.26,11.237,6.02
2017-04-06,2390.39,11.34,6.05
2017-04-07,2388.27,11.242,6.06
2017-04-10,2379.16,11.139,6.11
2017-04-11,2382.11,10.715,6.19
2017-04-12,2378.86,10.612,6.26
2017-04-13,2368.11,10.497,6.19
2017-04-14,2355.52,10.492,6.12
2017-04-17,2357.52,10.182,5.93
2017-04-18,2337.35,10.024,5.87
2017-04-19,2325.04,9.953,5.83
2017-04-20,2335.65,9.888,5.74
2017-04-21,2347.67,9.937,5.74
2017-04-24,2341.93,9.502,5.23
2017-04-25,2344.74,9.328,5.25
2017-04-26,2344.5,9.355,5.23
2017-04-27,2351.64,9.926,5.09
2017-04-28,2347.04,9.872,5.03
2017-05-02,2336.79,8.887,5.0
2017-05-03,2329.77,8.061,4.98
2017-05-04,2325.43,8.376,4.98
2017-05-05,2320.6,8.191,4.84
2017-05-08,2326.1,8.73,4.73
2017-05-09,2316.29,8.822,4.89
2017-05-10,2324.92,8.594,4.75
2017-05-11,2339.29,8.643,4.67
2017-05-12,2375.45,8.806,4.68
2017-05-15,2381.75,8.599,4.68
2017-05-16,2381.32,8.866,4.76
2017-05-17,2363.56,8.735,4.82
2017-05-18,2354.75,8.615,4.75
2017-05-19,2361.66,8.496,4.83
2017-05-22,2381.55,8.387,4.73
2017-05-23,2411.8,8.137,4.6
2017-05-24,2407.57,8.12,4.63
2017-05-25,2473.5,8.12,4.66
2017-05-26,2471.21,8.28,4.64
2017-05-31,2479.08,8.12,4.69
2017-06-01,2496.45,7.31,4.65
2017-06-02,2475.46,6.96,4.69
2017-06-05,2450.35,7.66,5.16
